Antena,Fecha,Latitud,Longitud,Codigo,Temp_max_emas,Temp_min_emas,Hidroregion,Topoforma,Temp_max_merra,Temp_min_merra,Differential_max,Differential_min,Temp_mean_merra,Temp_mean_emas,Humedad,Presion_barometrica,Precipitacion,Radiacion_solar,Etiqueta_clase
2009,02/03/2019,32.3,-115.02,2009,-99,-99,Rio Colorado,Llanura,29.36081,14.77612,-99,-99,20.21942,NA,NA,NA,NA,NA,0
2010,01/03/2019,31.78,-115.77,2010,-99,-99,B.C. Noreste,Sierra,26.84937,9.75177,-99,-99,16.34781,NA,NA,NA,NA,NA,0
2010,02/03/2019,31.78,-115.77,2010,-99,-99,B.C. Noreste,Sierra,21.66794,11.0585,-99,-99,15.51086,NA,NA,NA,NA,NA,0
2011,01/03/2019,32.35,-115.19,2011,-99,-99,Rio Colorado,Llanura,28.10901,12.57367,-99,-99,18.98087,NA,NA,NA,NA,NA,0
2011,02/03/2019,32.35,-115.19,2011,-99,-99,Rio Colorado,Llanura,28.90149,14.52173,-99,-99,20.03415,NA,NA,NA,NA,NA,0
2012,01/03/2019,28.3,-114.03,2012,-99,-99,B.C. Centro Oeste,Llanura,23.46844,12.39743,-99,-99,17.37378,NA,NA,NA,NA,NA,0
2012,02/03/2019,28.3,-114.03,2012,-99,-99,B.C. Centro Oeste,Llanura,23.14694,13.90402,-99,-99,17.04764,NA,NA,NA,NA,NA,0
2013,01/03/2019,30.67,-115.13,2013,-99,-99,B.C. Noreste,Valle,27.14795,11.46021,-99,-99,18.06796,NA,NA,NA,NA,NA,0
2013,02/03/2019,30.67,-115.13,2013,-99,-99,B.C. Noreste,Valle,24.70523,13.1203,-99,-99,17.54584,NA,NA,NA,NA,NA,0
2014,01/03/2019,31.59,-116.05,2014,-99,-99,B.C. Noroeste,Llanura,22.52115,9.23517,-99,-99,14.06857,NA,NA,NA,NA,NA,0
2014,02/03/2019,31.59,-116.05,2014,-99,-99,B.C. Noroeste,Llanura,17.31638,9.81616,-99,-99,13.05734,NA,NA,NA,NA,NA,0
2015,01/03/2019,28.03,-113.4,2015,-99,-99,B.C. Centro Oeste,Llanura,28.4834,11.6944,-99,-99,18.96609,NA,NA,NA,NA,NA,0
2015,02/03/2019,28.03,-113.4,2015,-99,-99,B.C. Centro Oeste,Llanura,26.42484,13.67621,-99,-99,18.52856,NA,NA,NA,NA,NA,0
2016,01/03/2019,28.3,-112.88,2016,-99,-99,B.C. Centro Este,Bajada,25.58923,13.81079,-99,-99,18.9259,NA,NA,NA,NA,NA,0
2016,02/03/2019,28.3,-112.88,2016,-99,-99,B.C. Centro Este,Bajada,25.78302,15.31821,-99,-99,19.23569,NA,NA,NA,NA,NA,0
2017,01/03/2019,32.33,-117.05,2017,-99,-99,B.C. Noroeste,Llanura,18.38541,12.18582,-99,-99,14.38391,NA,NA,NA,NA,NA,0
2017,02/03/2019,32.33,-117.05,2017,-99,-99,B.C. Noroeste,Llanura,16.27817,11.73032,-99,-99,13.754,NA,NA,NA,NA,NA,0
