,Antena,Fecha,Latitud,Longitud,Codigo,Temp_max_emas,Temp_min_emas,Hidroregion,Topoforma,Temp_max_merra,Temp_min_merra,Differential_max,Differential_min,Temp_mean_merra,Temp_mean_emas,Humedad,Presion_barometrica,Precipitacion,Radiacion_solar,Etiqueta_clase
8252,32078,01/03/2019,24.15,-101.48,32078,-99.0,-99.0,El Salado,Bajada,28.0473,10.28354,-99.0,-99.0,17.99911,,,,,,0
8253,32078,02/03/2019,24.15,-101.48,32078,-99.0,-99.0,El Salado,Bajada,30.54654,10.18152,-99.0,-99.0,19.24261,,,,,,0
8254,32084,01/03/2019,23.7,-101.93,32084,-99.0,-99.0,El Salado,Bajada,28.20096,8.98724,-99.0,-99.0,17.98038,,,,,,0
8255,32084,02/03/2019,23.7,-101.93,32084,-99.0,-99.0,El Salado,Bajada,30.31927,9.06732,-99.0,-99.0,19.185,,,,,,0
8260,32087,01/03/2019,24.62,-101.39,32087,-99.0,-99.0,El Salado,Bajada,28.16379,10.6586,-99.0,-99.0,17.99054,,,,,,0
8261,32087,02/03/2019,24.62,-101.39,32087,-99.0,-99.0,El Salado,Bajada,30.70093,9.91461,-99.0,-99.0,18.90799,,,,,,0
8292,32107,01/03/2019,23.62,-101.72,32107,-99.0,-99.0,El Salado,Bajada,27.98291,9.07715,-99.0,-99.0,17.82376,,,,,,0
8293,32107,02/03/2019,23.62,-101.72,32107,-99.0,-99.0,El Salado,Bajada,30.00067,9.25903,-99.0,-99.0,19.0596,,,,,,0
8318,32121,01/03/2019,22.75,-102.51,32121,-99.0,-99.0,El Salado,Bajada,27.17169,7.91971,-99.0,-99.0,16.77759,,,,,,0
8319,32121,02/03/2019,22.75,-102.51,32121,-99.0,-99.0,El Salado,Bajada,28.44098,7.86691,-99.0,-99.0,17.35928,,,,,,0
8336,32131,01/03/2019,22.66,-102.5,32131,-99.0,-99.0,El Salado,Bajada,27.08981,7.75208,-99.0,-99.0,16.6405,,,,,,0
8337,32131,02/03/2019,22.66,-102.5,32131,-99.0,-99.0,El Salado,Bajada,28.12173,7.98279,-99.0,-99.0,17.1582,,,,,,0
8368,32176,01/03/2019,22.83,-102.5,32176,-99.0,-99.0,El Salado,Bajada,27.2522,8.10049,-99.0,-99.0,16.92126,,,,,,0
8369,32176,02/03/2019,22.83,-102.5,32176,-99.0,-99.0,El Salado,Bajada,28.74426,7.785,-99.0,-99.0,17.57922,,,,,,0
8370,32177,01/03/2019,24.98,-102.62,32177,-99.0,-99.0,Nazas Aguanaval,Bajada,30.07285,10.60315,-99.0,-99.0,19.62625,,,,,,0
8371,32177,02/03/2019,24.98,-102.62,32177,-99.0,-99.0,Nazas Aguanaval,Bajada,32.91266,10.73529,-99.0,-99.0,20.77219,,,,,,0
